Venue Name,Location,Rating,Reviews,Overview,Ambience,Services Offered,Facilities,Space Capacity,Operating Time,USPs,Cash,UPI,Credit Card,Net Banking,Cheque,Paytm,Google Pay,PhonePe,Out_decor_Allowed,Both_decor,Only_panel_decor,Out_Catering_allowed,Inhouse_Catering_Only,Both_Catering_allowed
Komalas Restaurant,"Mogappair East, Chennai",3.5,1,"Komalas Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Komalas Restaurant is best for events in Mogappair East, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,Veg only menu.,80,24x7,"Good for small occasions, family gatherings.",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Fuji Japanese Restaurant,"T nagar, Chennai",4.2,1,"Fuji Japanese Restaurant is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Fuji Japanese Restaurant is best for events in T nagar, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,Veg and non-veg menu.,75,24x7,Japanese cuisine.,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Absolute Thai,"Teynampet, Chennai",4.4,1,"Absolute Thai is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Absolute Thai is best for events in Teynampet, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,Thai cuisine.,70,24x7,Thai cuisine.,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Spice Jar,"T nagar, Chennai",3.7,1,"Spice Jar is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Spice Jar is best for events in T nagar, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,"Veg and non-veg menu, alcohol allowed.",100,24x7,"Chinese, Continental, South Indian cuisine.",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Jalpaan,"Anna Salai, Chennai",4.3,1,"Jalpaan is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Jalpaan is best for events in Anna Salai, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,"Chinese, Italian cuisine.",72,24x7,"Veg, Non Veg",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Mathsya,"Gandhi Nagar, Chennai",3.8,1,"Mathsya is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Mathsya is best for events in Gandhi Nagar, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,South Indian cuisine.,80,24x7,Veg,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Flower Drum Adyar,"Gandhi Nagar, Chennai",4.3,1,"Flower Drum Adyar is located in Adyar, Chennai. This is a pure veg casual dining restaurant specializing in delicious Chinese and Thai cuisines. The restaurants provide its diners with a nice ambiance along with delivery and takeaway options.","Fully furnished, good locality.",Restaurant space available for events.,"Chinese, Thai cuisine.",60,24x7,Veg,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Jonahs Bistro,"Royapettah, Chennai",4.0,1,"Jonahs Bistro is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us! Jonahs Bistro is best for events in Royapettah, Chennai.","Fully furnished, good locality.",Restaurant space available for events.,Italian cuisine.,50,24x7,"Veg, Non Veg",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sangeetha Veg Restaurant,"Velachery, Chennai",4.0,1,Sangeetha Veg Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Fully furnished and welcoming ambience.,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa","Banquet Halls, Marriage Halls, Party Halls",180,11:00 to 11:30 PM,"Good locality, inhouse catering, versatile event spaces",1,0,1,0,0,0,0,0,0,0,1,0,1,0
Jalpaan,"Gandhi Nagar, Chennai",4.0,1,Jalpaan is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Warm and inviting atmosphere.,"Power Backup, Doctor On Call, Spa, Restaurant","Cash, Credit Card",120,24x7,"Italian cuisine, spacious restaurant area",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Kaaraikudi,"Mylapore, Chennai",3.7,1,Kaaraikudi is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Cozy and traditional ambiance.,"Power Backup, Doctor On Call, Spa, Restaurant","Cash, Credit Card",120,24x7,"Authentic South Indian cuisine, comfortable seating",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sangeetha Veg Restaurant,"Old Mahabalipuram Road, Chennai",4.0,1,Sangeetha Veg Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Spacious and elegant setting.,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa","Banquet Halls, Marriage Halls, Party Halls",200,24x7,"Large capacity, versatile event spaces, inhouse catering",1,0,1,0,0,0,0,0,0,0,1,0,1,0
Sangeethas Desi Mane,"Ashok Nagar, Chennai",4.2,1,Sangeethas Desi Mane is well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Traditional and cozy ambiance.,"Power Backup, Doctor On Call, Spa, Restaurant","Cash, Credit Card",60,24x7,"Variety of South Indian dishes, intimate setting",1,0,1,0,0,0,0,0,1,0,0,1,0,0
Rajputana,"Koyambedu, Chennai",4.1,1,Party Hall at Rajputana is well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Fully furnished and welcoming ambience.,"AV Equipment, Full Bar, Catering Available, Power Backup, Doctor On Call, Spa, Restaurant","Banquet Halls, Restaurants, Marriage Halls, Party Halls",70,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Pasha The Park,"Nungambakkam, Chennai",5.0,1,Restaurant at Pasha - The Park is a well-located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Warm and inviting atmosphere.,"Full Bar, Power Backup, Doctor On Call, Spa, Restaurant","Restaurants, 5 Star Hotels",60,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Spice Jar,"T nagar, Chennai",3.7,1,Restaurant at Spice Jar is a well-located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Cozy and traditional ambiance.,"Power Backup, Doctor On Call, Spa, Restaurant",Restaurants,72,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Jalpaan,"Nungambakkam, Chennai",4.3,1,Restaurant at Jalpaan is a well-located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Spacious and elegant setting.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,150,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Kaaraikudi,"Ashok Nagar, Chennai",3.8,1,Hall at Kaaraikudi is a well-located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Traditional and cozy ambiance.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,50,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Copper Chimney,"Cathedral Road, Chennai",4.2,1,Restaurant at Copper Chimney is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Cozy and traditional ambiance.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,80,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sangeetha Veg Restaurant,"T nagar, Chennai",4.4,1,Restaurant at Sangeetha Veg Restaurant is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Warm and inviting atmosphere.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,200,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sigree Global Grill,"Nungambakkam, Chennai",4.3,1,Party Hall at Sigree Global Grill is well located and fully furnished in its own locality. We always take care of our guests and their desires they look for from us!,Elegant and modern setting.,"AV Equipment, Catering Available, Power Backup, Doctor On Call, Spa, Restaurant","Banquet Halls, Restaurants, Marriage Halls, Party Halls",70,24x7,Alcohol Allowed,1,0,1,1,1,0,0,0,1,0,0,1,0,0
Fuji Japanese Restaurant,"T nagar, Chennai",4.1,1,Hall at Fuji Japanese Restaurant is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Sophisticated and serene ambiance.,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant","Banquet Halls, Restaurants, Marriage Halls, Party Halls",100,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Eden Vegetarian Restaurant,"Besant Nagar, Chennai",4.0,1,Restaurant at Eden Vegetarian Restaurant is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Contemporary and relaxed ambiance.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,80,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Vd Mahal,"Choolai, Chennai",3.7,1,VG Mahal is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us.,Spacious and elegant ambiance.,"DJ Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant","Banquet Halls, Marriage Halls, Party Halls",450,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
The Cascade,"Mogappair East, Chennai",3.8,1,The Cascade is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Modern and chic setting.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,60,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Pind,"Thoraipakkam, Chennai",4.1,1,PIND is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Contemporary and vibrant ambiance.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,80,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Kaaraikudi,"Ashok Nagar, Chennai",3.7,1,Kaaraikudi is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Traditional and cozy atmosphere.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,100,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Kaaraikudi,"Alwarpet, Chennai",3.3,1,Kaaraikudi is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Authentic and inviting setting.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,100,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Jonahs Bistro,"Alwarpet, Chennai",4.1,1,Jonahs Bistro is a well located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,Sophisticated and upscale ambiance.,"Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,50,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sangeetha Veg Restaurant,"Koyambedu, Chennai",4.4,1,Sangeetha Veg Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,"Best for events in Koyambedu, Chennai. Hall at Sangeetha Veg Restaurant is best for events in Koyambedu, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,300,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sangeetha Veg Restaurant,"Guindy, Chennai",3.8,1,Sangeetha Veg Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,"Best for events in Guindy, Chennai. Restaurant at Sangeetha Veg Restaurant is best for events in Guindy, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,80,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Sigree Global Grill,"Nungambakkam, Chennai",4.4,1,Sigree Global Grill is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,"Best for events in Nungambakkam, Chennai. Restaurant at Sigree Global Grill is best for events in Nungambakkam, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,180,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Kim Ling Restaurant,"Annanagar East, Chennai",4.1,1,Kim Ling Restaurant is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,"Best for events in Annanagar East, Chennai. Restaurant at Kim Ling Restaurant is best for events in Annanagar East, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Restaurants,64,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Pasha The Park,"Nungambakkam, Chennai",5.0,1,Pasha - The Park is a well-located and fully furnished restaurant in its own locality. We always take care of our guests and their desires they look for from us!,"Best for events in Nungambakkam, Chennai. Bar at Pasha The Park has best ambiance of restaurants in Nungambakkam, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Bars and Pubs,60,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Courtyard by Marriott Chennai,"Teynampet, Chennai",5.0,1,"Whether you're visiting for business or leisure, you'll be delighted with the spacious accommodation and superb amenities here at the Courtyard Chennai.","Best for events in Teynampet, Chennai. Narmada Hall at Courtyard by Marriott Chennai is best for events in Teynampet, Chennai.","Power Backup, Doctor On Call, Spa, Room Service, Restaurant",Banquet Halls,100,24x7,Alcohol Allowed,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Radha Regent Chennai,"Arumbakkam, Chennai",4.0,1,"Simple and tastefully appointed halls makes us the perfect location for any event, be it pleasure or business, board meeting, social event or a dinner. We will make it happen exactly the way you want it. With a diverse choice of meeting and dining options, Radha Regent Chennai will make your event very special indeed with its dedicated team to personalize your preferences.","Best for events in Arumbakkam, Chennai. Orchid II at Radha Regent Chennai is best for events in Arumbakkam, Chennai.","AV Equipment, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed","Banquet Halls, Hotels, Conference Rooms, Seminar Halls, Wedding Hotels, Marriage Halls, Party Halls",50,24x7,Alcohol Allowed,1,1,1,1,0,1,1,1,1,0,0,1,0,0
Ambassador Pallava Hotel,"Egmore, Chennai",3.3,1,"Full of character, the Ambassador Pallava is warm, welcoming and the perfect place to stay on a trip to Chennai. Located close to the business district, we are a 25-minute drive (18 kms) from Chennai International Airport and just 10 minutes from the Railway Station.",Good for Occasions,"Society Restaurant, Salt N Paper, Council Room, Board room, Senator Hall, Regency Hall, Dynasty Hall","AV Equipment, Full Bar, Catering Available, Power Backup, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",60,00:30 PM - 11:30 AM,"Great Place for Family Function, Great Place for Corporate Events",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Hyatt Regency,"Teynampet, Chennai",4.0,1,"Located on the iconic Anna Salai, Hyatt Regency Chennai is a plush 5-star property. With multiple award-winning food and beverage choices, splendid recreation facilities and well-appointed rooms and suites, this extraordinary hotel ensures an excellent stay to its patrons.",Banquet Hall,"Studio Terrace, 365 A S Restaurant, Focaccia Restaurant, Spice Haat, Abbotsbury Studio I Studio II Studio Terrace, Abbotsbury Studio Studio Terrace, Studio Terrace, Studio Hall III, Abbotsbury Studio Hall, Studio Hall, Studio Hall II, Studio Hall I, Abbotsbury Hall, Regency Ballroom Prefunction, Pre Functions Area, Ballroom II, Ballroom I, Regency Ballroom","AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",150,00:00 PM - 00:00 AM,"Bachelor Party, Birthday Party, Class Reunion, Corporate Party, Engagement, Meeting, Wedding, Conference, Kitty Party, Wedding Reception, Baby Shower, Get Together, Wedding Anniversary, Christmas Party, New Year Party, Lohri Party",1,0,1,0,0,0,0,0,1,0,0,0,1,0
Hyatt Regency,"Teynampet, Chennai",5.0,1,"Located on the iconic Anna Salai, Hyatt Regency Chennai is a plush 5-star property. With multiple award-winning food and beverage choices, splendid recreation facilities and well-appointed rooms and suites, this extraordinary hotel ensures an excellent stay to its patrons.",Banquet Hall,"365 A S Restaurant, Focaccia Restaurant, Spice Haat, Abbotsbury Studio I Studio II Studio Terrace, Abbotsbury Studio Studio Terrace, Studio Terrace, Studio Hall III, Abbotsbury Studio Hall, Studio Hall, Studio Hall II, Studio Hall I, Abbotsbury Hall, Regency Ballroom Prefunction, Pre Functions Area, Ballroom II, Ballroom I, Regency Ballroom","AV Equipment, Smoking Area, Valet Parking, Catering Available, Power Backup, WiFi, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon, Guide Service, Taxi Services, Handicap Access, Open Outdoor Seating, Mandap Setup, Outdoor Catering, Wifi Enabled, Heating, Florist on Request, Yoga Centre, Hawan Allowed, Baarat Allowed, Fire Crackers Allowed",250,00:00 PM - 00:00 AM,"Bachelor Party, Birthday Party, Class Reunion, Corporate Party, Engagement, Meeting, Wedding, Conference, Kitty Party, Wedding Reception, Baby Shower, Get Together, Wedding Anniversary, Christmas Party, New Year Party, Lohri Party",1,0,1,0,0,0,0,0,1,0,0,0,1,0
"Nayagara Hotel in Kodambakkam, Chennai","15 United India Colony, Station View Road, Kodambakkam, Chennai 600024, Tamil Nadu, India",3.0,1,"Nayagara Hotel in Kodambakkam, Chennai, is a budget-friendly hotel known for its comfort and luxury. Situated in the cultural capital of South India, it offers a convenient stay for travelers exploring the city and its attractions.",Comfortable and budget-friendly accommodation,"Nayagara Hotel provides comfortable accommodation options suitable for all types of travelers. The Aruvi Hall, located on the 4th floor, has a capacity to accommodate up to 200 guests, making it ideal for various events including weddings, receptions, birthday parties, and conferences.","Aruvi Hall offers a range of facilities including catering, AV equipment, and more",500,11:00 - 11:00 PM,"Comfortable and budget-friendly accommodation, Convenient location",1,0,1,0,0,0,0,0,0,0,1,0,1,0
"The Accord Metropolitan Hotel in T Nagar, Chennai","Plot No. 35, Gn Chetty Road, T Nagar, Chennai, Tamil Nadu 600017, India",5.0,1,"The Accord Metropolitan Hotel in T Nagar, Chennai, is a premier business hotel offering 162 well-appointed rooms and superior business facilities. Situated in the heart of the commercial hub, it provides a serene and luxurious stay for guests.",Premier business hotel with superior facilities,"The Crystal Ballroom at The Accord Metropolitan Hotel can accommodate up to 450 guests and is ideal for various events including weddings, receptions, conferences, and corporate meetings. The hotel offers personalized service and a wide range of menus to suit every occasion.",Crystal Ballroom offers personalized service and a wide range of menus,450,24x7,"Premier business hotel, Serene and luxurious stay",1,1,1,1,0,1,1,1,0,0,1,0,1,0
"Hotel Manickam Grand in Gst Road Chennai, Chennai","30 G.s.t Road, Pallavaram, Near Pallavaram Signal, Chennai, Tamil Nadu 600043, India",2.5,1,"Hotel Manickam Grand in Gst Road Chennai offers economical accommodation with good service. Situated near GST Road in Pallavaram, it provides a friendly stay at affordable rates, making it ideal for budget travelers.",Economical accommodation with good service,"The Pentagon Conference cum Banquet Hall at Hotel Manickam Grand can accommodate up to 100 guests and is suitable for conferences, seminars, weddings, and corporate events. The hotel offers well-equipped banquet halls with state-of-the-art facilities.",Pentagon Hall offers well-equipped banquet facilities,100,11:00 - 11:00 PM,"Affordable accommodation, Friendly service",1,0,1,0,0,0,0,0,0,0,1,0,1,0
"Hotel Maris in Cathedral Road, Chennai","11, Cathedral Road, Chennai 600086, Tamil Nadu, India",4.0,1,"Hotel Maris, located on Cathedral Road in Chennai, has been serving guests since 1975. Known for its warm South Indian hospitality and efficient service, it offers a comfortable stay for business travelers and tourists alike.",Warm hospitality and efficient service,"Hotel Maris features the Dasami Hall, an elegant and intimate space suitable for private parties, wedding receptions, corporate meetings, and music festivals. The hall can accommodate up to 150 guests and offers world-class facilities.",Dasami Hall offers personalized service and world-class facilities,150,11:00 - 11:00 PM,"Warm hospitality, Efficient service",1,0,1,0,0,0,0,0,0,0,1,0,1,0
Goldmine Hotels,"Koyambedu, Chennai",3.8,1,Luxury hotel offering lodging and dining services with modern facilities. Ideal for business travelers and events.,Not specified,"AV Equipment, DJ Available, Doctor On Call, Spa, Room Service, Restaurant, Gym, Laundry Service, Massage Center, Swimming Pool, Currency Exchange, Airport Shuttle, Health Club, Beauty Salon",Indoor banquet hall (50-300 guests),300,11:00 - 11:00 PM,Good for various occasions,1,0,1,0,0,0,0,0,1,0,0,0,1,0
